,fight,count,percentage
1,New York Rangers x Philadelphia Flyers,97,0.9397403603952722
2,Calgary Flames x Edmonton Oilers,92,0.8913001356326293
3,Anaheim Ducks x Los Angeles Kings,82,0.7944196861073436
4,Anaheim Ducks x San Jose Sharks,82,0.7944196861073436
5,Anaheim Ducks x Calgary Flames,81,0.784731641154815
6,New Jersey Devils x New York Rangers,78,0.7556675062972292
7,Calgary Flames x Vancouver Canucks,78,0.7556675062972292
8,Chicago Blackhawks x St. Louis Blues,77,0.7459794613447006
9,New Jersey Devils x Philadelphia Flyers,75,0.7266033714396435
10,Philadelphia Flyers x Pittsburgh Penguins,74,0.7169153264871149
11,Ottawa Senators x Toronto Maple Leafs,72,0.6975392365820577
12,Boston Bruins x Toronto Maple Leafs,71,0.6878511916295291
13,New York Islanders x Philadelphia Flyers,69,0.668475101724472
14,Columbus Blue Jackets x St. Louis Blues,69,0.668475101724472
15,Minnesota Wild x Vancouver Canucks,68,0.6587870567719434
16,Boston Bruins x Ottawa Senators,66,0.6394109668668863
17,New York Islanders x Pittsburgh Penguins,66,0.6394109668668863
18,Boston Bruins x Montreal Canadiens,66,0.6394109668668863
19,Boston Bruins x Buffalo Sabres,66,0.6394109668668863
20,Florida Panthers x Tampa Bay Lightning,66,0.6394109668668863
21,Dallas Stars x St. Louis Blues,63,0.6103468320093005
22,Florida Panthers x Philadelphia Flyers,60,0.5812826971517148
23,Edmonton Oilers x Vancouver Canucks,60,0.5812826971517148
24,Anaheim Ducks x St. Louis Blues,60,0.5812826971517148
25,Anaheim Ducks x Dallas Stars,60,0.5812826971517148
26,New Jersey Devils x New York Islanders,59,0.5715946521991863
27,Boston Bruins x Florida Panthers,59,0.5715946521991863
28,Calgary Flames x Columbus Blue Jackets,57,0.552218562294129
29,Anaheim Ducks x Chicago Blackhawks,56,0.5425305173416005
30,Florida Panthers x Ottawa Senators,56,0.5425305173416005
31,Ottawa Senators x Philadelphia Flyers,56,0.5425305173416005
32,New York Islanders x New York Rangers,55,0.5328424723890719
33,Colorado Avalanche x Vancouver Canucks,55,0.5328424723890719
34,Calgary Flames x Minnesota Wild,55,0.5328424723890719
35,Calgary Flames x St. Louis Blues,55,0.5328424723890719
36,Montreal Canadiens x Toronto Maple Leafs,54,0.5231544274365434
37,Boston Bruins x Philadelphia Flyers,54,0.5231544274365434
38,Calgary Flames x Colorado Avalanche,54,0.5231544274365434
39,New York Rangers x Washington Capitals,53,0.5134663824840147
40,Edmonton Oilers x Los Angeles Kings,52,0.5037783375314862
41,Colorado Avalanche x St. Louis Blues,52,0.5037783375314862
42,Columbus Blue Jackets x Nashville Predators,51,0.4940902925789576
43,Boston Bruins x New York Rangers,51,0.4940902925789576
44,Anaheim Ducks x Nashville Predators,51,0.4940902925789576
45,Chicago Blackhawks x Nashville Predators,51,0.4940902925789576
46,Chicago Blackhawks x Columbus Blue Jackets,51,0.4940902925789576
47,Dallas Stars x San Jose Sharks,50,0.48440224762642903
48,Philadelphia Flyers x Washington Capitals,50,0.48440224762642903
49,Boston Bruins x Washington Capitals,49,0.47471420267390046
50,New York Rangers x Tampa Bay Lightning,49,0.47471420267390046
51,Colorado Avalanche x Edmonton Oilers,49,0.47471420267390046
52,New York Rangers x Pittsburgh Penguins,48,0.4650261577213718
53,Edmonton Oilers x Minnesota Wild,48,0.4650261577213718
54,Montreal Canadiens x Ottawa Senators,47,0.45533811276884323
55,Boston Bruins x Tampa Bay Lightning,47,0.45533811276884323
56,Philadelphia Flyers x Toronto Maple Leafs,47,0.45533811276884323
57,Los Angeles Kings x San Jose Sharks,47,0.45533811276884323
58,Edmonton Oilers x St. Louis Blues,47,0.45533811276884323
59,Buffalo Sabres x Ottawa Senators,46,0.44565006781631467
60,Los Angeles Kings x St. Louis Blues,46,0.44565006781631467
61,Anaheim Ducks x Columbus Blue Jackets,46,0.44565006781631467
62,Dallas Stars x Los Angeles Kings,45,0.4359620228637861
63,Boston Bruins x Pittsburgh Penguins,45,0.4359620228637861
64,Colorado Avalanche x Columbus Blue Jackets,44,0.42627397791125754
65,Buffalo Sabres x Toronto Maple Leafs,44,0.42627397791125754
66,Minnesota Wild x Nashville Predators,44,0.42627397791125754
67,Ottawa Senators x Tampa Bay Lightning,44,0.42627397791125754
68,Chicago Blackhawks x Vancouver Canucks,43,0.4165859329587289
69,Calgary Flames x Los Angeles Kings,43,0.4165859329587289
70,Buffalo Sabres x Philadelphia Flyers,43,0.4165859329587289
71,Nashville Predators x St. Louis Blues,43,0.4165859329587289
72,New Jersey Devils x Tampa Bay Lightning,43,0.4165859329587289
73,Dallas Stars x Nashville Predators,43,0.4165859329587289
74,Tampa Bay Lightning x Washington Capitals,43,0.4165859329587289
75,Pittsburgh Penguins x Toronto Maple Leafs,42,0.4068978880062003
76,San Jose Sharks x Vancouver Canucks,42,0.4068978880062003
77,Colorado Avalanche x Los Angeles Kings,42,0.4068978880062003
78,Anaheim Ducks x Edmonton Oilers,42,0.4068978880062003
79,Chicago Blackhawks x San Jose Sharks,42,0.4068978880062003
80,Colorado Avalanche x Minnesota Wild,42,0.4068978880062003
81,Anaheim Ducks x Vancouver Canucks,42,0.4068978880062003
82,Philadelphia Flyers x Tampa Bay Lightning,42,0.4068978880062003
83,Columbus Blue Jackets x San Jose Sharks,41,0.3972098430536718
84,Calgary Flames x Nashville Predators,41,0.3972098430536718
85,Calgary Flames x Chicago Blackhawks,41,0.3972098430536718
86,Chicago Blackhawks x Los Angeles Kings,40,0.3875217981011432
87,Calgary Flames x San Jose Sharks,40,0.3875217981011432
88,Pittsburgh Penguins x Washington Capitals,40,0.3875217981011432
89,San Jose Sharks x St. Louis Blues,40,0.3875217981011432
90,Ottawa Senators x Pittsburgh Penguins,40,0.3875217981011432
91,New York Islanders x Tampa Bay Lightning,39,0.3778337531486146
92,Edmonton Oilers x San Jose Sharks,39,0.3778337531486146
93,Buffalo Sabres x Montreal Canadiens,39,0.3778337531486146
94,Minnesota Wild x St. Louis Blues,39,0.3778337531486146
95,New York Rangers x Toronto Maple Leafs,38,0.36814570819608605
96,Nashville Predators x Vancouver Canucks,38,0.36814570819608605
97,Dallas Stars x Edmonton Oilers,38,0.36814570819608605
98,Montreal Canadiens x Tampa Bay Lightning,38,0.36814570819608605
99,Buffalo Sabres x New York Islanders,38,0.36814570819608605
100,Buffalo Sabres x Florida Panthers,38,0.36814570819608605
101,Chicago Blackhawks x Edmonton Oilers,38,0.36814570819608605
102,Anaheim Ducks x Colorado Avalanche,38,0.36814570819608605
103,Nashville Predators x San Jose Sharks,38,0.36814570819608605
104,Florida Panthers x Toronto Maple Leafs,38,0.36814570819608605
105,Anaheim Ducks x Minnesota Wild,38,0.36814570819608605
106,Columbus Blue Jackets x Minnesota Wild,37,0.35845766324355743
107,Colorado Avalanche x Dallas Stars,37,0.35845766324355743
108,Chicago Blackhawks x Colorado Avalanche,36,0.34876961829102887
109,New York Rangers x Ottawa Senators,35,0.3390815733385003
110,Florida Panthers x New York Rangers,35,0.3390815733385003
111,Chicago Blackhawks x Dallas Stars,35,0.3390815733385003
112,Florida Panthers x Montreal Canadiens,35,0.3390815733385003
113,Carolina Hurricanes x Washington Capitals,34,0.3293935283859717
114,Carolina Hurricanes x Florida Panthers,34,0.3293935283859717
115,Florida Panthers x New York Islanders,34,0.3293935283859717
116,Buffalo Sabres x Washington Capitals,34,0.3293935283859717
117,Columbus Blue Jackets x Edmonton Oilers,34,0.3293935283859717
118,Calgary Flames x Dallas Stars,34,0.3293935283859717
119,Colorado Avalanche x Nashville Predators,34,0.3293935283859717
120,Ottawa Senators x Washington Capitals,33,0.3197054834334431
121,St. Louis Blues x Vancouver Canucks,33,0.3197054834334431
122,Montreal Canadiens x New York Rangers,32,0.3100174384809145
123,Dallas Stars x Vancouver Canucks,32,0.3100174384809145
124,Tampa Bay Lightning x Toronto Maple Leafs,32,0.3100174384809145
125,Buffalo Sabres x Tampa Bay Lightning,32,0.3100174384809145
126,Pittsburgh Penguins x Tampa Bay Lightning,32,0.3100174384809145
127,New Jersey Devils x Toronto Maple Leafs,32,0.3100174384809145
128,Boston Bruins x New Jersey Devils,32,0.3100174384809145
129,New Jersey Devils x Pittsburgh Penguins,31,0.30032939352838595
130,Edmonton Oilers x Nashville Predators,31,0.30032939352838595
131,Columbus Blue Jackets x Pittsburgh Penguins,31,0.30032939352838595
132,Chicago Blackhawks x Minnesota Wild,31,0.30032939352838595
133,Columbus Blue Jackets x Vancouver Canucks,31,0.30032939352838595
134,Florida Panthers x New Jersey Devils,31,0.30032939352838595
135,Los Angeles Kings x Vancouver Canucks,31,0.30032939352838595
136,Columbus Blue Jackets x Los Angeles Kings,30,0.2906413485758574
137,Boston Bruins x Carolina Hurricanes,30,0.2906413485758574
138,New York Islanders x Toronto Maple Leafs,30,0.2906413485758574
139,Florida Panthers x Pittsburgh Penguins,30,0.2906413485758574
140,Boston Bruins x New York Islanders,30,0.2906413485758574
141,Florida Panthers x Washington Capitals,30,0.2906413485758574
142,Carolina Hurricanes x Ottawa Senators,30,0.2906413485758574
143,Dallas Stars x Florida Panthers,29,0.2809533036233288
144,Montreal Canadiens x Philadelphia Flyers,29,0.2809533036233288
145,Ottawa Senators x Vancouver Canucks,29,0.2809533036233288
146,New Jersey Devils x Washington Capitals,29,0.2809533036233288
147,Carolina Hurricanes x Philadelphia Flyers,28,0.27126525867080026
148,New Jersey Devils x Ottawa Senators,28,0.27126525867080026
149,Anaheim Ducks x Detroit Red Wings,28,0.27126525867080026
150,Columbus Blue Jackets x Dallas Stars,28,0.27126525867080026
151,Carolina Hurricanes x Pittsburgh Penguins,28,0.27126525867080026
152,Dallas Stars x Minnesota Wild,28,0.27126525867080026
153,Toronto Maple Leafs x Vancouver Canucks,27,0.2615772137182717
154,Detroit Red Wings x Nashville Predators,27,0.2615772137182717
155,Carolina Hurricanes x Tampa Bay Lightning,26,0.2518891687657431
156,Los Angeles Kings x Minnesota Wild,26,0.2518891687657431
157,Detroit Red Wings x St. Louis Blues,26,0.2518891687657431
158,New York Islanders x Ottawa Senators,26,0.2518891687657431
159,Columbus Blue Jackets x Detroit Red Wings,25,0.24220112381321451
160,Minnesota Wild x San Jose Sharks,24,0.2325130788606859
161,Carolina Hurricanes x New Jersey Devils,24,0.2325130788606859
162,Calgary Flames x Toronto Maple Leafs,23,0.22282503390815733
163,Boston Bruins x Los Angeles Kings,23,0.22282503390815733
164,Toronto Maple Leafs x Washington Capitals,23,0.22282503390815733
165,Los Angeles Kings x Nashville Predators,23,0.22282503390815733
166,Buffalo Sabres x New York Rangers,23,0.22282503390815733
167,Montreal Canadiens x Pittsburgh Penguins,23,0.22282503390815733
168,Montreal Canadiens x Washington Capitals,22,0.21313698895562877
169,New York Islanders x Washington Capitals,22,0.21313698895562877
170,Nashville Predators x Tampa Bay Lightning,22,0.21313698895562877
171,Buffalo Sabres x New Jersey Devils,22,0.21313698895562877
172,Columbus Blue Jackets x New York Islanders,22,0.21313698895562877
173,Carolina Hurricanes x Toronto Maple Leafs,22,0.21313698895562877
174,Columbus Blue Jackets x Ottawa Senators,22,0.21313698895562877
175,Montreal Canadiens x New York Islanders,21,0.20344894400310015
176,Dallas Stars x Detroit Red Wings,21,0.20344894400310015
177,Anaheim Ducks x Buffalo Sabres,21,0.20344894400310015
178,Boston Bruins x Columbus Blue Jackets,21,0.20344894400310015
179,Colorado Avalanche x San Jose Sharks,21,0.20344894400310015
180,Boston Bruins x Dallas Stars,21,0.20344894400310015
181,Edmonton Oilers x Florida Panthers,20,0.1937608990505716
182,Edmonton Oilers x Toronto Maple Leafs,20,0.1937608990505716
183,Columbus Blue Jackets x New York Rangers,20,0.1937608990505716
184,Chicago Blackhawks x Philadelphia Flyers,20,0.1937608990505716
185,Buffalo Sabres x Pittsburgh Penguins,20,0.1937608990505716
186,Calgary Flames x Montreal Canadiens,20,0.1937608990505716
187,Minnesota Wild x Winnipeg Jets,20,0.1937608990505716
188,Florida Panthers x Nashville Predators,20,0.1937608990505716
189,Chicago Blackhawks x New Jersey Devils,20,0.1937608990505716
190,Chicago Blackhawks x Detroit Red Wings,20,0.1937608990505716
191,Calgary Flames x Tampa Bay Lightning,20,0.1937608990505716
192,Calgary Flames x New York Rangers,19,0.18407285409804303
193,Colorado Avalanche x Tampa Bay Lightning,19,0.18407285409804303
194,Anaheim Ducks x Washington Capitals,19,0.18407285409804303
195,Minnesota Wild x Philadelphia Flyers,19,0.18407285409804303
196,Nashville Predators x Winnipeg Jets,19,0.18407285409804303
